,SearchID,Speaker,LeftContext,RightContext,C1,C2,Schwa,C3,Codes,City,Discourse,Schwa,Word,Left,Right,Sex,Region,Zone,SchwaBin
54897,885,cqamt1,quelque1422s article,"s parus dans La Dapache0412 du Centre1423, L'Exp",k,l,ə,p,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54908,896,cqamt1,s d'identita risque,nt de1112 provoquer une0411 explosion.,s,k,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54915,903,cqamt1,est fait pour0412 le,protager.,R,l,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54918,906,cqamt1,que0412 maire0412 de,Beaulieu ne1112 sait plus a quel0412 saint se111,R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54930,918,cqamt1,bor0412ds manifeste,nt leur0412 colere0413.,s,t,ə,l,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54940,928,cqamt1,ne1122 cesse0412 de,baisser de1212puis les alections.,s,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54943,931,cqamt1,MT: ne,cesse0412 de1122 baisser de1212puis les alection,?,n,ə,s,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54944,932,cqamt1,le1112 maire0412 de,"Beaulieu, Marc0422 Blanc",R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54945,933,cqamt1,"e1122 Beaulieu, Marc",Blanc,R,k,ə,b,0422,Quebec ville (universite),read,no,polysylend,C,C,F,Quebec,Canada,0
54953,941,cqamt1,"e0412 Beaulieu, Marc","Blanc, euh le1112 maire0412 de1122 Beaulieu, Marc",R,k,ə,b,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54962,950,cqamt1,ut dacouvrir0412 ce,"qu'il appelle0414 \\""la campagne0412 profonde0413\""""",R,s,ə,k,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54970,958,cqamt1,"0312ment, car0412 le","Premier Ministre0414, lassa des circuits habitue",R,l,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54979,967,cqamt1,ux olympique0412s de,"Berlin en mille0412 neuf cent trente0412 six0413,",k,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54981,969,cqamt1,che0212mise0411s de,"soie,",z,d,ə,s,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55019,1007,cqajs1,sentiment de0112 se,trouver dans une impasse0412 stupide0413.,d,s,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
55023,1011,cqamg1,ue1112 des activiste,s des commune0412s voisine0414s prapare0411nt une,s,t,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55026,1014,cqamg1,au Premier Ministre,pour0412 varifier si son village0414 atait vrai,t,R,ə,p,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55042,1030,cqams1,,trouver au centre1422 d'une0412 bataille0412 poli,?,?,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55051,1039,cqajs1,que0412 maire0412 de,Beaulieu ne1112 sait plus a quel0412 saint se011,R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
55055,1043,cqajr1,sentiment de0112 se,trouver dans une0411 impasse0412 stupide0413.,d,s,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55058,1046,cqags1,ux olympique0412s de,"Berlin en mille0412 neuf cent trente0412 six0413,",k,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
55060,1048,cqacp2,sentiment de0112 se,trouver dans une0411 impasse0414 stupide0413.,d,s,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
55091,1079,cqajr1,,trouver au centre1422 d'une0412 bataille0412 poli,?,?,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55093,1081,cqajr1,que0412 maire0412 de,Beaulieu ne1112 sait plus a quel0412 saint se011,R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55095,1083,cqags1,hampion local0412 de,"course0421 a pied, Louis Garret,",l,d,ə,k,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
55097,1085,cqacp2,22 trouver au centre,"d'une0412 bataille0412 politique0414 dont, par041",t,R,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
55100,1088,cqacp1,se trouver au centre,d'une0412 bataille0412 politique0414,t,R,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55103,1091,cqacp1,P: Quelque,s fanatique2414s auraient mame0411 entama un je,l,k,ə,f,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55107,1095,cqaab1,BB: Quelque,s fanatique0414s auraient mame0411 entama un je,l,k,ə,f,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55114,1102,cqaab1,,trouver au centre1422 d'une0412 bataille0412 poli,?,?,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55120,1108,cqaab1,ue1112 des activiste,s des commune0412s voisine0414s,s,t,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55121,1109,cqaab1,sentiment de1112 se,"trouver dans un, une0411 impasse0412 stupide0413.",d,s,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55124,1112,cqaab1,s d'identita risque,nt de1112 provoquer une0411 explosion.,s,k,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55126,1114,cqaab1,est fait pour0412 le,protager.,R,l,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55128,1116,cqaab1,"413, le1132 gouverne",ment prend contact0421 avec0412 la prafecture0412,R,n,ə,m,1322,Quebec ville (universite),read,yes,polysyl2,C,C,F,Quebec,Canada,1
55136,1124,cqaab1,"1122 Beaulieu, Marc",Blanc est en re1212vanche0412 tres inquiet.,R,k,ə,b,0422,Quebec ville (universite),read,no,polysylend,C,C,F,Quebec,Canada,0
55139,1127,cqaab1,ut dacouvrir0412 ce,"qu'il appelle0414 \\""la campagne0412 profonde0413\""""",R,s,ə,k,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55149,1137,cqaab1,"nt, son usine0412 de",pates0411 italiennes0413.,n,d,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55155,1143,cqacp1,ue1112 des activiste,s des commune0412s voisine0414s,s,t,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55165,1153,cqacp1,et s'assure0412 que,"tout est en fait euh, que tout est fait pour0412",R,k,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55169,1157,cqacp1,bor0412ds manifeste,nt leur0412 colere0413.,s,t,ə,l,0422,Quebec ville (universite),read,no,polysylend,C,C,F,Quebec,Canada,0
55172,1160,cqacp1,Le1132 maire0412 de,"Beaulieu, Marc0422 Blanc, est en re1212vanche0412",R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55180,1168,cqacp1,"nt, son usine0412 de",pates0411 italiennes0413.,n,d,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55184,1172,cqacp1,hampion local0412 de,"course0421 a pied Louis Garret,",l,d,ə,k,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55201,1189,cqacp2,bor0412ds manifeste,nt leur0412 colere0413.,s,t,ə,l,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
55215,1203,cqacp2,son un/ usine0412 de,pates0414 italiennes0413.,n,d,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
55219,1207,cqacp2,hampion local0412 de,"course0421 a pied, Louis Garret,",l,d,ə,k,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
55224,1212,cqags1,de1112 gloire0412 de,"Beaulieu ataient son vin blanc, sec0413,",R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
55226,1214,cqags1,0411 au cour0112s de,sa tournae de0112 la ragion en fin d'annae.,R,d,ə,s,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
55235,1223,cqajr1,JR: Quelque,s fanatique0414s auraient mame0414 entama le1112,l,k,ə,f,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55239,1227,cqajr1,"De1132 plus, quelque",s artic0452les parus dans La Dapache0412 du Cent,l,k,ə,z,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55241,1229,cqajr1,s d'identita risque,nt de1112 provoquer une0411 explosion.,s,k,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55246,1234,cqajr1,bor0412ds manifeste,nt leur0412 colere0413.,s,t,ə,l,0422,Quebec ville (universite),read,no,polysylend,C,C,F,Quebec,Canada,0
55256,1244,cqajr1,hampion local0412 de,"course0421 a pied Louis Garret,",l,d,ə,k,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55265,1253,cqajs1,"423, le1132 gouverne",ment prend contact0421 avec0412 la prafecture0412,R,n,ə,m,1322,Quebec ville (universite),read,yes,polysyl2,C,C,M,Quebec,Canada,1
55270,1258,cqajs1,au Premier Ministre,pour0412 varifier si son village0414 atait vrai,t,R,ə,p,0422,Quebec ville (universite),read,no,polysylend,C,C,M,Quebec,Canada,0
55275,1263,cqajs1,Le1132 maire0412 de,"Beaulieu, Marc0422 Blanc est en re1212vanche0412",R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
55287,1275,cqajs1,de1112 gloire0412 de,"Beaulieu ataient son vin blanc sec0413, ses che0",R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
55297,1285,cqamg1,Un jeune0412 membre,de1112 l'opposition aurait daclara:,b,R,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55300,1288,cqamg1,et s'assure0412 que,tout est fait pour0412 le1122 protager.,R,k,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55303,1291,cqamg1,bor0412ds manifeste,nt leur0412 colere0413.,s,t,ə,l,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55307,1295,cqamg1,mier Ministre0414 ne,cesse0412 de1122 baisser de1212puis les alection,R,n,ə,s,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55320,1308,cqamg1,hampion local0412 de,"course0421 a pied Louis Garret,",l,d,ə,k,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55329,1317,cqams1,"De1132 plus, quelque",s article1421s ont paru dans La Dapache0412 du C,l,k,ə,z,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55340,1328,cqams1,Le1132 maire0412 de,"Beaulieu, Marc0422 Blanc, est en re1212vanche0412",R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55342,1330,cqams1,"0312ment, car0412 le","Premier Minist0453re, euh lassa des circuits hab",R,l,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55354,1342,cqamt1,"L'Express0413, Ouest",Liberta et Le1112 Nouvel0411 Observateur0413 ind,s,t,ə,l,0422,Quebec ville (universite),read,no,polysylend,C,C,F,Quebec,Canada,0
55358,1346,cqamt1,Un jeune0412 membre,de1112 l'opposition aurait daclara:,b,R,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55362,1350,cqamt1,et s'assure0412 que,tout est fait pour0412 le1122 protager.,R,k,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55366,1354,cqamt1,MT: D'un autre,"cata, a chaque0412 voyage0412 du Premier Minis",t,R,ə,k,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55372,1360,cqamt1,sentiment de1112 se,trouver dans une0411 impasse1412 stupide0413.,d,s,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55376,1364,cqamt1,"on, son usine0412 de",pates0411 italiennes0413.,n,d,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55383,1371,cqamt1,hampion local0412 de,"course0421 a pied (Louis Garret0413), quatrieme",l,d,ə,k,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55386,1374,cqaab1,0411 au cour0412s de,sa tournae de0112 la ragion en fin d'annae.,R,d,ə,s,0122,Quebec ville (universite),read,no,monosyl,C,C,F,Quebec,Canada,0
55395,1383,cqaab1,e1132 village0412 de,Beaulieu est en grand amoi.,ʒ,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55399,1387,cqacp1,les seul0412s titre,s de1112 gloire0412 de1122 Beaulieu ataient son v,t,R,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55402,1390,cqacp1,0411 au cour0112s de,sa tournae de0112 la ragion en fin d'annae.,R,d,ə,s,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55411,1399,cqacp1,e1132 village0412 de,Beaulieu est en grand amoi.,ʒ,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55417,1405,cqacp2,0414 au cour0112s de,sa tournae de0112 la ragion en fin d'annae.,R,d,ə,s,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
55426,1414,cqacp2,e1132 village0412 de,Beaulieu est en grand amoi.,ʒ,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
55442,1430,cqajr1,0411 au cour0112s de,"sa tournae de1112 la ragion de0112 fin, de1132",R,d,ə,s,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55451,1439,cqajr1,e1132 village0412 de,Beaulieu est en grand amoi.,ʒ,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55458,1446,cqajs1,les seul0412s titre,s de1112 gloire0412 de1122 Beaulieu ataient son v,t,R,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
55461,1449,cqajs1,0411 au cour0112s de,sa tournae de0112 la ragion en fin d'annae.,R,d,ə,s,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
55470,1458,cqajs1,e1132 village0412 de,Beaulieu est en grand amoi.,ʒ,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
55474,1462,cqamg1,de1112 gloire0412 de,"Beaulieu ataient son vin blanc sec0413, ses che1",R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55477,1465,cqamg1,les seul0412s titre,s de1112 gloire0412 de1122 Beaulieu ataient son v,t,R,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55480,1468,cqamg1,0411 au cour0112s de,sa tournae de0112 la ragion en fin d'annae.,R,d,ə,s,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55489,1477,cqamg1,e1132 village0412 de,Beaulieu est en grand amoi.,ʒ,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55493,1481,cqams1,0411 au cour0112s de,"sa tournae de1112 la ragion de0111 euh, en fin",R,d,ə,s,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55502,1490,cqams1,e1132 village0412 de,Beaulieu est en grand amoi.,ʒ,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55507,1495,cqamt1,de1112 gloire0412 de,"Beaulieu ataient son vin blanc sec0413, ses che0",R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55510,1498,cqamt1,les seul0412s titre,s de1112 gloire0412 de1122 Beaulieu ataient son v,t,R,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
55513,1501,cqamt1,0411 au cour0112s de,sa tournae de0112 la ragion en fin d'annae.,R,d,ə,s,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55522,1510,cqamt1,e1132 village0412 de,Beaulieu est en grand amoi.,ʒ,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
125375,8,cqams1,MS: parce0312 que,la graphie peut influencer parfois la faaon de01,s,k,ə,l,1422,Quebec ville (universite),guided,yes,polysylend,C,C,F,Quebec,Canada,1
125399,32,cqajr1,,"venir0412 a Riviere0312duLoup,",?,?,ə,v,1222,Quebec ville (universite),guided,yes,polysyl1,C,C,F,Quebec,Canada,1
125414,47,cqacp2,O: alors lui Charle,"s lui il fait de0112 tout, lui,",R,l,ə,l,0422,Quebec ville (universite),guided,no,polysylend,C,C,M,Quebec,Canada,0
125428,61,cqacp1,2 qu'ils me0112 faxe,"nt les schamas,",k,s,ə,l,0422,Quebec ville (universite),guided,no,polysylend,C,C,F,Quebec,Canada,0
125441,74,cqams1,ns le1112 Sud0412 de,l'Italie.,d,d,ə,l,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
125471,104,cqajr1,a Saint Anne0412 de,Beaupra.,n,d,ə,b,0122,Quebec ville (universite),guided,no,monosyl,C,C,F,Quebec,Canada,0
125511,144,cqacp1,anaais pour0412 que,"les atudiants puisse0412nt le1122 lire0413,",R,k,ə,l,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
125518,151,cqacp1,: un article0421 que,j'avais acrit expres en franaais pour0412 que1,l,k,ə,ʒ,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
125523,156,cqaab1,BB: Sauf que,c'est le0112 contraire0412 qui est arriva c'est,f,k,ə,s,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
125530,163,cqaab1,BB: Euh parce,que1413.,R,s,ə,k,0422,Quebec ville (universite),guided,no,polysylend,C,C,F,Quebec,Canada,0
125549,182,cqaab1,2412 euh pour0412 le,Trasor0412 de0122 la Langue0412 Franaaise0412 (,R,l,ə,t,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
125551,184,cqaab1,Deux met0452res de,neige0412 qui tombe0411nt il fait moins trente041,R,d,ə,n,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
125565,198,cqaab1,/ne tempaate0412 de,neige0411 euh.,t,d,ə,n,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
125568,201,cqaab1,je0132 pense0412 que,c'est la (hasitation),s,k,ə,s,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
125570,203,cqaab1,a grand'mere0412 de,mon grand'pere0412 qui atait Huronne.,R,d,ə,m,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
125585,218,cqaab1,BB: Parce0312 que,c'est vrai que0112 les amarindiens ataient peut,s,k,ə,s,1422,Quebec ville (universite),guided,yes,polysylend,C,C,F,Quebec,Canada,1
125587,220,cqaab1,2 mon manage0412 de,chambre0412 mais un jour0411 elle0411 a re1212non,ʒ,d,ə,S,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
125589,222,cqaab1,a essaya de0112 me,montrer a faire0412 mon manage0412 de1122 chamb,d,m,ə,m,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
125593,226,cqaab1,BB: Parce0312 que,"je0412 suis, ma mere0411 au/ ma mere0411 a essa",s,k,ə,ʒ,1422,Quebec ville (universite),guided,yes,polysylend,C,C,F,Quebec,Canada,1
125604,237,cqaab1,BB: Alor0412s que,"lui il fait le0412 manage0413, donc0412 c'est un",R,k,ə,l,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
125608,241,cqaab1,"entre0421 euh, entre",nous deux c'est.,t,R,ə,n,1422,Quebec ville (universite),guided,yes,polysylend,C,C,F,Quebec,Canada,1
125636,269,cqacp1,rends compte0412 que,tout atait a l'enver0413s.,t,k,ə,t,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
125638,271,cqacp1,x0451te et je0112 me,rends compte0412 que1122 tout atait a l'enver04,ʒ,m,ə,R,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
125659,292,cqacp1,t la je re0212garde,les corrections elles ataient pas toujour0412s b,R,d,ə,l,0422,Quebec ville (universite),guided,no,polysylend,C,C,F,Quebec,Canada,0
125692,325,cqacp1,0412 symbole0412 que,pour0412 l'anglais parce0312 qu'ils avaient mis d,l,k,ə,p,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
125698,331,cqacp1,e0412 demande0412 de,"correction et tout ils se0112 sont trompas euh,",d,d,ə,k,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
125715,348,cqacp2,PO: parce0312 que,"maintenant quand tu vois des aquations, des chif",s,k,ə,m,1422,Quebec ville (universite),guided,yes,polysylend,C,C,M,Quebec,Canada,1
125737,371,cqacp2,12 que1412 je0112 me,"dis aa me0112 touche0412 pas, aa m'aide0412 pas",ʒ,m,ə,d,1122,Quebec ville (universite),guided,yes,monosyl,C,C,M,Quebec,Canada,1
125743,377,cqacp2,apar0414t je0132 me,dis mais pourquoi ils veule0412nt prouver qu'unte,ʒ,m,ə,d,1122,Quebec ville (universite),guided,yes,monosyl,C,C,M,Quebec,Canada,1
125752,386,cqacp2,"tions, parce0312 que","j'ai rien a dire0413,",s,k,ə,ʒ,1422,Quebec ville (universite),guided,yes,polysylend,C,C,M,Quebec,Canada,1
125758,392,cqacp2,narativis0452tes je,"peux pas poser de0112 questions, parce0312 que142",t,ʒ,ə,p,0122,Quebec ville (universite),guided,no,monosyl,C,C,M,Quebec,Canada,0
125764,398,cqacp2,les discip0452les de,"Martinet ben de0112 temps a aut2454res euh, j'ai",l,d,ə,m,1122,Quebec ville (universite),guided,yes,monosyl,C,C,M,Quebec,Canada,1
125767,401,cqacp2,l'extarieur0412 de,"cette04 thaorie,",R,d,ə,s,0122,Quebec ville (universite),guided,no,monosyl,C,C,M,Quebec,Canada,0
125782,416,cqacp2,orie explique0412 le,langage0413.,k,l,ə,l,1122,Quebec ville (universite),guided,yes,monosyl,C,C,M,Quebec,Canada,1
125788,422,cqacp2,e1132 trouve0412 que,leur0412 ganarativisme0421 ici souvent consiste,v,k,ə,l,1122,Quebec ville (universite),guided,yes,monosyl,C,C,M,Quebec,Canada,1
125800,434,cqags1,"euh, en r/en regle",ganarale0412 j'atais pas un atudiant a probl,g,l,ə,ʒ,1422,Quebec ville (universite),guided,yes,polysylend,C,C,M,Quebec,Canada,1
125804,438,cqags1,aa mais (en) regle,ganarale0413.,g,l,ə,ʒ,1422,Quebec ville (universite),guided,yes,polysylend,C,C,M,Quebec,Canada,1
125809,443,cqags1,a che0212mise0412 de,vait aatre0421 absolument boutonnae.,z,d,ə,v,1222,Quebec ville (universite),guided,yes,polysyl1,C,C,M,Quebec,Canada,1
125813,447,cqags1,2 peutaat0452re que,"aa de1212vient plus compliqua,",R,k,ə,s,1122,Quebec ville (universite),guided,yes,monosyl,C,C,M,Quebec,Canada,1
125827,461,cqags1,e en histoire0412 de,l'Ar0412t.,R,d,ə,l,1122,Quebec ville (universite),guided,yes,monosyl,C,C,M,Quebec,Canada,1
125833,467,cqags1,12 l'histoire0412 de,"l'ar0413t, aa m'a beaucoup intaressa,",R,d,ə,l,1122,Quebec ville (universite),guided,yes,monosyl,C,C,M,Quebec,Canada,1
